,날짜,BDI,WS
136,2011-05-21,1355.0698904771423,50.92840124862929
137,2011-05-22,1356.1003734654291,51.598203620435655
138,2011-05-23,1369.0,52.0
139,2011-05-24,1398.0,52.0
140,2011-05-25,1446.0,52.0
141,2011-05-26,1467.0,52.0
142,2011-05-27,1474.0,52.0
143,2011-05-28,1476.9272884050965,52.42999106253963
144,2011-05-29,1477.0974754409199,52.466988796811975
145,2011-05-30,1477.21506135249,52.25724658843036
146,2011-05-31,1480.0,52.0
147,2011-06-01,1485.0,52.0
148,2011-06-02,1489.0,55.0
149,2011-06-03,1489.0,57.5
150,2011-06-04,1491.9681009640415,59.634408183214205
151,2011-06-05,1496.1132464047153,59.49271940564891
152,2011-06-06,1484.0,57.5
153,2011-06-07,1456.0,55.0
154,2011-06-08,1434.0,57.5
155,2011-06-09,1428.0,58.5
156,2011-06-10,1418.0,58.5
157,2011-06-11,1414.546280266262,58.39937876533435
158,2011-06-12,1417.3267476560143,58.47364503255806
159,2011-06-13,1412.0,58.5
160,2011-06-14,1400.0,58.5
161,2011-06-15,1405.0,58.5
162,2011-06-16,1424.0,58.5
163,2011-06-17,1423.0,58.5
164,2011-06-18,1421.5469108012041,58.35741696011363
165,2011-06-19,1422.2998104279905,58.41465379960242
166,2011-06-20,1418.0,58.5
167,2011-06-21,1409.0,59.0
168,2011-06-22,1406.0,59.0
169,2011-06-23,1414.0,59.0
170,2011-06-24,1424.0,57.5
171,2011-06-25,1432.7471478482316,55.30150025166742
172,2011-06-26,1439.5307912540939,53.76834931098977
173,2011-06-27,1442.0,52.5
174,2011-06-28,1438.0,52.5
175,2011-06-29,1420.0,51.3
176,2011-06-30,1413.0,51.25
177,2011-07-01,1422.0,51.25
178,2011-07-02,1424.2929381555855,51.11694680430701
179,2011-07-03,1418.5241963537856,50.79091406709123
180,2011-07-04,1419.0,50.0
181,2011-07-05,1428.0,50.0
182,2011-07-06,1443.0,50.0
183,2011-07-07,1453.0,50.0
184,2011-07-08,1449.0,49.0
185,2011-07-09,1447.5558962190307,49.036675829308656
186,2011-07-10,1448.839602026218,48.96793683770405
187,2011-07-11,1437.0,49.0
188,2011-07-12,1411.0,49.0
189,2011-07-13,1383.0,50.0
190,2011-07-14,1367.0,50.0
191,2011-07-15,1353.0,50.0
192,2011-07-16,1346.1099917437173,49.57870088530642
193,2011-07-17,1345.4795287948953,49.305498233102156
194,2011-07-18,1340.0,49.0
195,2011-07-19,1330.0,49.0
196,2011-07-20,1328.0,49.0
197,2011-07-21,1325.0,49.0
198,2011-07-22,1323.0,49.0
199,2011-07-23,1321.689189592813,49.00619864586282
200,2011-07-24,1320.5421274335665,49.00201368788422
201,2011-07-25,1317.0,49.0
202,2011-07-26,1310.0,49.0
203,2011-07-27,1296.0,49.0
204,2011-07-28,1278.0,49.0
205,2011-07-29,1264.0,49.0
206,2011-07-30,1257.5852233633702,48.79544902400856
207,2011-07-31,1257.7247123125856,48.52597709403433
208,2011-08-01,1256.0,48.0
209,2011-08-02,1253.0,48.0
210,2011-08-03,1260.0,47.0
211,2011-08-04,1268.0,47.0
212,2011-08-05,1268.0,46.0
213,2011-08-06,1267.9416560335505,45.828978034700356
214,2011-08-07,1268.3737734125714,45.774559340026755
215,2011-08-08,1264.0,46.0
216,2011-08-09,1257.0,46.0
217,2011-08-10,1265.0,46.0
218,2011-08-11,1277.0,46.0
219,2011-08-12,1287.0,46.0
220,2011-08-13,1289.2842395981513,46.09452850496982
221,2011-08-14,1287.328501718715,45.96677955523135
222,2011-08-15,1306.0,46.0
223,2011-08-16,1344.0,45.0
224,2011-08-17,1371.0,45.0
225,2011-08-18,1414.0,45.0
226,2011-08-19,1462.0,47.5
227,2011-08-20,1486.1891785240337,47.509597907088406
228,2011-08-21,1489.4731078847765,47.66179567964544
229,2011-08-22,1515.0,47.5
230,2011-08-23,1565.0,47.5
231,2011-08-24,1602.0,47.5
232,2011-08-25,1582.0,47.0
233,2011-08-26,1541.0,47.0
234,2011-08-27,1533.059152491626,47.29904058426901
235,2011-08-28,1566.0136378407014,47.28960120088334
236,2011-08-29,1605.9313407608718,47.108415231220754
237,2011-08-30,1619.0,47.0
238,2011-08-31,1619.0,47.0
239,2011-09-01,1682.0,46.0
240,2011-09-02,1740.0,46.0
241,2011-09-03,1791.5423323498787,52.427106524927225
242,2011-09-04,1837.9864127701792,58.16835272991716
243,2011-09-05,1879.4035451658963,63.426821441117866
244,2011-09-06,1915.793729537031,68.20251265852932
245,2011-09-07,1947.1569658835833,72.49542638215154
246,2011-09-08,1973.493254205553,76.30556261198453
247,2011-09-09,1994.8025945029403,79.63292134802826
248,2011-09-10,2011.0849867757447,82.47750259028275
249,2011-09-11,2022.340431023966,84.839306338748
250,2011-09-12,2028.5689272476059,86.71833259342401
251,2011-09-13,2029.7704754466622,88.1145813543108
252,2011-09-14,2025.9450756211363,89.02805262140834
253,2011-09-15,2017.092727771027,89.45874639471663
254,2011-09-16,2003.964693170355,89.40666267423568
255,2011-09-17,1991.068539463235,88.8718014599655
256,2011-09-18,1979.1555279236848,87.85416275190605
257,2011-09-19,1968.2256585517061,86.35374655005737
258,2011-09-20,1958.278931347298,84.37055285441947
259,2011-09-21,1949.3153463104609,81.90458166499232
260,2011-09-22,1941.3349034411947,78.95583298177593
261,2011-09-23,1934.337602739499,75.52430680477028
262,2011-09-24,1928.3234442053745,71.6100031339754
263,2011-09-25,1923.2924278388207,67.21292196939129
264,2011-09-26,1919.2445536398377,62.33306331101793
265,2011-09-27,1916.1798216084258,56.97042715885533
266,2011-09-28,1914.0982317445842,51.12501351290349
267,2011-09-29,1913.0,45.0
268,2011-09-30,1913.0,41.0
269,2011-10-01,1914.7928056565586,40.734662974381216
270,2011-10-02,1918.493545348464,40.419375668628454
271,2011-10-03,1924.1023076506729,40.27805321820953
272,2011-10-04,1931.6473096843413,40.31069562312444
273,2011-10-05,1941.2978541764194,40.517302883373176
274,2011-10-06,1953.082158248065,40.89787499895575
275,2011-10-07,1967.0,41.5
276,2011-10-08,1983.052045130059,42.050696199568335
277,2011-10-09,2001.237627940407,42.56251009149027
278,2011-10-10,2021.5569703303227,42.98785364563794
279,2011-10-11,2044.0100722998056,43.32672686201134
280,2011-10-12,2068.5969338488558,43.579129740610476
281,2011-10-13,2092.576025204323,43.74506228143537
282,2011-10-14,2113.205816593055,43.824524484485984
283,2011-10-15,2130.486308015052,43.81751634976234
284,2011-10-16,2144.417499470315,43.724037877264436
285,2011-10-17,2155.0,43.5
286,2011-10-18,2162.2319824806364,43.44885658657107
287,2011-10-19,2166.1152740356956,43.60952710362606
288,2011-10-20,2166.64926562402,44.02610061815723
289,2011-10-21,2163.83395724561,44.69857713016461
290,2011-10-22,2160.2894787858622,45.62695663964817
291,2011-10-23,2158.635960130174,46.811239146607946
292,2011-10-24,2158.8734012785476,48.251424651043884
293,2011-10-25,2161.0,50.0
294,2011-10-26,2165.021162987474,51.56497185782342
295,2011-10-27,2170.931483548028,52.76926797112513
296,2011-10-28,2178.7327639126424,53.56040149286115
297,2011-10-29,2185.6116734353577,53.93837242303151
298,2011-10-30,2174.688228240423,53.90318076163617
299,2011-10-31,2143.149097681879,53.454826508675154
300,2011-11-01,2091.0,52.5
301,2011-11-02,2018.2237804739634,51.58273097973584
302,2011-11-03,1930.189797599512,50.687191207117124
303,2011-11-04,1859.0,50.0
304,2011-11-05,1810.0232588080094,49.4530964144421
305,2011-11-06,1783.2429066658783,49.53827742874738
306,2011-11-07,1778.6644993594937,50.16223338920811
307,2011-11-08,1793.3824934928607,51.3249642958243
308,2011-11-09,1809.963628690014,53.026470148595926
309,2011-11-10,1825.5023615549585,55.26675094752302
310,2011-11-11,1840.0,58.0
311,2011-11-12,1853.452620288221,60.853551654123216
312,2011-11-13,1865.864146156539,63.17990010235561
313,2011-11-14,1877.2332696926487,65.02485203730276
314,2011-11-15,1887.5599908965494,66.38840745896464
315,2011-11-16,1896.8443097682414,67.27056636734129
316,2011-11-17,1904.8163101195194,67.67132876243268
317,2011-11-18,1909.8564948211547,67.59069464423882
318,2011-11-19,1911.6949476849418,67.02866401275972
319,2011-11-20,1910.3316687108806,65.98523686799537
320,2011-11-21,1905.7666578989713,64.46041320994576
321,2011-11-22,1898.0,62.5
322,2011-11-23,1887.031440761608,60.47941518471766
323,2011-11-24,1872.861234436154,59.04891847899292
324,2011-11-25,1855.4892962728522,58.162702921436676
325,2011-11-26,1835.9975924590392,57.82076851204892
326,2011-11-27,1820.87792011874,58.02311525082966
327,2011-11-28,1811.2122454392904,58.7697431377789
328,2011-11-29,1807.0,60.0
329,2011-11-30,1808.242889062943,61.33214335981267
330,2011-12-01,1814.9392073660451,62.020517702156845
331,2011-12-02,1827.089523329997,62.12577519992915
332,2011-12-03,1840.8866151820725,61.64791585312959
333,2011-12-04,1852.5232611495444,60.58693966175816
334,2011-12-05,1862.0,59.0
335,2011-12-06,1869.315215430678,57.2353126511476
336,2011-12-07,1874.4705237443395,55.984013643604335
337,2011-12-08,1877.4653861733968,55.18894960318506
338,2011-12-09,1878.2998027178514,54.85012052988975
339,2011-12-10,1878.346732250406,54.96752642371844
340,2011-12-11,1878.9791336437654,55.54116728467109
341,2011-12-12,1880.1970068979304,56.57104311274774
342,2011-12-13,1882.0,58.0
343,2011-12-14,1884.3891689886743,59.34351615088562
344,2011-12-15,1887.363457825254,59.77414632217216
345,2011-12-16,1890.9232185226388,59.34904442180799
346,2011-12-17,1893.2778339266067,58.0682104497931
347,2011-12-18,1892.6366868829357,55.93164440612749
348,2011-12-19,1889.0,53.0
349,2011-12-20,1882.3671054526783,50.11191263366978
350,2011-12-21,1872.7386710660917,48.46993996452898
351,2011-12-22,1860.114474231866,48.01342828338876
352,2011-12-23,1844.6443106617248,48.742377590249134
353,2011-12-24,1827.2269546260043,50.65678788511009
354,2011-12-25,1808.0122018364268,53.756659167971634
355,2011-12-26,1787.0,58.0
356,2011-12-27,1764.1905059957028,62.543131437515775
357,2011-12-28,1739.5835629445555,66.290425903837
358,2011-12-29,1713.179223139552,69.2838748377974
359,2011-12-30,1684.9774865806914,71.52347823939701
360,2011-12-31,1654.9783532679744,73.0092361086358
361,2012-01-01,1623.1818232014007,73.7411484455138
362,2012-01-02,1589.5878963809705,73.719215250031
363,2012-01-03,1555.0720166620197,72.94343652218737
364,2012-01-04,1520.5096278998853,71.41381226198294
365,2012-01-05,1485.9007300945666,69.13034246941771
366,2012-01-06,1451.2453232460646,66.09302714449169
367,2012-01-07,1416.5434073543781,62.301866287204845
368,2012-01-08,1381.7949824195077,57.75685989755719
369,2012-01-09,1347.0,52.5
370,2012-01-10,1312.1586054202157,47.59505787605245
371,2012-01-11,1277.2706533557937,44.35775695394127
372,2012-01-12,1242.3361922481877,42.74610520921519
373,2012-01-13,1207.4137232424748,42.760102641874205
374,2012-01-14,1172.8542532091155,44.39974925191834
375,2012-01-15,1138.7162832931867,47.665045039347575
376,2012-01-16,1105.0,52.5
377,2012-01-17,1071.7048438136212,57.65693572743467
378,2012-01-18,1038.8313742499845,61.552233790239164
379,2012-01-19,1006.3794048037778,64.24188419257536
380,2012-01-20,974.5982002111627,65.72588693444328
381,2012-01-21,944.9833488891016,66.00424201584292
382,2012-01-22,917.7841155737551,65.07694943677429
383,2012-01-23,893.0,63.0
384,2012-01-24,870.6325029632065,60.48953753960352
385,2012-01-25,850.6801236680045,58.59765070624408
386,2012-01-26,833.1433623795167,57.26834869715904
387,2012-01-27,817.325202494867,56.50163151234843
388,2012-01-28,799.0435443967923,56.29749915181222
389,2012-01-29,777.601371482416,56.65595161555042
390,2012-01-30,753.0,57.5
391,2012-01-31,725.2354812047579,57.937862485768456
392,2012-02-01,694.3117638414762,56.61582383208507
393,2012-02-02,666.2321851254366,53.61087294251287
394,2012-02-03,647.0,49.0
395,2012-02-04,636.6194040257134,44.186307290386345
396,2012-02-05,635.0862016420302,41.03483819720065
397,2012-02-06,642.4017913691325,39.46860253749477
398,2012-02-07,657.2365277566495,39.48760031126869
399,2012-02-08,671.6125381023573,41.091831518522426
