,날짜,OIL_CL,OIL_DU,OIL_BRT
108,2007-07-22,75.23340414788247,69.86933267560046,76.28138440132953
109,2007-07-23,74.89,69.31,76.86
110,2007-07-24,73.56,69.41,75.08
111,2007-07-25,75.88,69.46,76.32
112,2007-07-26,74.95,69.45,75.18
113,2007-07-27,77.02,69.54,76.26
114,2007-07-28,76.64463943851658,70.01481363618687,76.15117120752159
115,2007-07-29,76.89030789127196,69.98958072355023,76.21305074213714
116,2007-07-30,76.83,69.54,75.74
117,2007-07-31,78.21,69.53,77.05
118,2007-08-01,76.53,69.75,75.35
119,2007-08-02,76.86,70.73,75.76
120,2007-08-03,75.48,70.08,74.75
121,2007-08-04,74.34205262463892,69.54130481132417,73.39734317404601
122,2007-08-05,73.4811858743678,69.41711241988547,72.55649454416711
123,2007-08-06,72.06,69.94,71.17
124,2007-08-07,72.42,69.67,71.8
125,2007-08-08,72.15,68.99,70.99
126,2007-08-09,71.59,68.65,70.21
127,2007-08-10,71.47,68.65,70.39
128,2007-08-11,71.70818410703237,68.43252647539877,70.2880189860228
129,2007-08-12,71.64846858393142,68.28118315584778,70.15401473927204
130,2007-08-13,71.62,68.25,70.23
131,2007-08-14,72.38,68.02,70.51
132,2007-08-15,73.33,67.83,70.44
133,2007-08-16,71.0,67.74,69.42
134,2007-08-17,71.98,67.65,70.44
135,2007-08-18,71.2667094518289,67.67943662793014,69.86013668659642
136,2007-08-19,71.19917193089567,67.63019777150858,69.89618158245533
137,2007-08-20,71.12,67.58,69.85
138,2007-08-21,69.47,67.56,68.69
139,2007-08-22,69.26,67.52,68.7
140,2007-08-23,69.83,67.45,69.86
141,2007-08-24,71.09,67.38,72.13
142,2007-08-25,71.19248549269942,67.64107802236744,70.62259838543781
143,2007-08-26,71.35450360694016,67.69394362907529,70.8286924239064
144,2007-08-27,71.56815487803163,67.76139558765877,71.0590791970335
145,2007-08-28,71.73,67.34,70.55
146,2007-08-29,73.51,67.35,72.13
147,2007-08-30,73.36,67.32,71.9
148,2007-08-31,74.04,67.35,72.69
149,2007-09-01,73.41090858625017,68.31745065871065,72.57540408254695
150,2007-09-02,73.9343587984461,68.47242072854792,72.95154726362523
151,2007-09-03,74.50944216749276,68.6419771502608,73.35198317936202
152,2007-09-04,75.08,69.02,73.92
153,2007-09-05,75.73,69.16,74.77
154,2007-09-06,76.3,69.57,74.77
155,2007-09-07,76.7,69.89,75.07
156,2007-09-08,77.46565684841957,69.57911325177926,75.3767798270028
157,2007-09-09,77.96033318022012,69.7633770618319,75.73072430329763
158,2007-09-10,77.49,70.1,75.48
159,2007-09-11,78.23,70.35,76.38
160,2007-09-12,79.91,70.64,77.68
161,2007-09-13,80.09,70.98,77.4
162,2007-09-14,79.1,71.29,76.22
163,2007-09-15,80.1953238658772,70.83548993793717,77.46738196772789
164,2007-09-16,80.4552381180721,71.00859708658629,77.69232337957645
165,2007-09-17,80.57,71.52,76.98
166,2007-09-18,81.51,71.66,77.59
167,2007-09-19,81.93,71.88,78.47
168,2007-09-20,81.78,72.12,79.09
169,2007-09-21,81.62,72.32,79.3
170,2007-09-22,81.42915929103278,72.01376999427036,78.65496265732912
171,2007-09-23,81.49388542982477,72.17572048151595,78.75090100473145
172,2007-09-24,80.95,72.56,78.91
173,2007-09-25,79.53,72.79,77.62
174,2007-09-26,80.3,72.97,77.43
175,2007-09-27,82.88,73.09,80.03
176,2007-09-28,81.66,73.19,79.17
177,2007-09-29,81.19561508724472,73.11395342077884,78.71307937720195
178,2007-09-30,80.98654868531575,73.26474724662089,78.50389270124333
179,2007-10-01,80.72713985938123,73.41394726369099,78.22595645638819
180,2007-10-02,80.05,72.75,77.38
181,2007-10-03,79.94,73.88,77.19
182,2007-10-04,81.44,73.59,78.97
183,2007-10-05,81.22,73.33,78.9
184,2007-10-06,79.79464184815619,74.13604021746258,77.10390589804122
185,2007-10-07,80.10404262815692,74.27567738190109,77.42370772821083
186,2007-10-08,79.02,73.58,76.58
187,2007-10-09,80.26,74.28,77.49
188,2007-10-10,81.3,72.63,78.6
189,2007-10-11,83.08,73.61,80.15
190,2007-10-12,83.69,74.27,80.55
191,2007-10-13,84.46408953812393,75.08003038432159,81.56635593699295
192,2007-10-14,85.22662378179851,75.20851088735657,82.07884971153925
193,2007-10-15,86.13,74.66,82.75
194,2007-10-16,87.61,75.06,84.16
195,2007-10-17,87.4,76.27,83.13
196,2007-10-18,89.47,76.24,84.6
197,2007-10-19,88.6,76.22,83.79
198,2007-10-20,89.29516278430862,75.9198868910458,83.58614340437272
199,2007-10-21,89.0735093543104,75.95909964174709,83.83868165015156
200,2007-10-22,87.56,76.72,83.27
201,2007-10-23,85.27,76.72,82.85
202,2007-10-24,87.1,76.33,84.37
203,2007-10-25,90.46,76.26,87.48
204,2007-10-26,91.86,76.72,88.69
205,2007-10-27,94.28562234545701,75.84719958335421,87.55066835116574
206,2007-10-28,94.66062770955186,76.48554811660165,88.28515312944488
207,2007-10-29,93.53,77.15,90.32
208,2007-10-30,90.38,77.22,87.44
209,2007-10-31,94.53,77.26,90.63
210,2007-11-01,93.49,84.14,89.72
211,2007-11-02,95.93,85.82,92.08
212,2007-11-03,95.12586482867857,84.61550782644773,91.91494938852512
213,2007-11-04,95.612963446047,85.45980474046219,92.22160089416704
214,2007-11-05,93.98,84.54,90.49
215,2007-11-06,96.7,85.71,93.26
216,2007-11-07,96.37,86.12,93.24
217,2007-11-08,95.46,88.23,92.79
218,2007-11-09,96.32,88.2,93.18
219,2007-11-10,95.2651622989754,86.71126947704663,91.89183214730204
220,2007-11-11,94.66212996591645,86.74506849704619,91.47525772603848
221,2007-11-12,94.62,87.33,91.98
222,2007-11-13,91.17,86.92,88.83
223,2007-11-14,94.09,85.97,91.36
224,2007-11-15,93.43,84.9,90.94
225,2007-11-16,93.84,85.37,91.62
226,2007-11-17,94.3572772982514,86.66753453379559,92.83651671827842
227,2007-11-18,95.08883057460213,86.63621062282061,93.59865290766832
228,2007-11-19,94.64,85.41,92.28
229,2007-11-20,98.03,86.36,95.49
